Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2025,393.00,394.55,389.35,392.40,391.527082435350662684,461683,13034,180761398.00,183531,39.75,5.20,-0.60
31-December-2024,389.15,395.00,385.45,392.40,389.261634504792332268,782500,21229,304597229.00,297344,38.00,9.55,3.25
30-December-2024,399.15,400.40,387.30,390.30,394.255314872350139184,990052,29802,390333263.00,481787,48.66,13.10,-8.85
27-December-2024,406.00,408.20,398.25,399.10,403.136584530888361327,537484,7743,216679464.00,333057,61.97,9.95,-6.90
26-December-2024,401.65,407.95,397.80,403.80,401.439341524084480170,277793,5439,111517039.00,79480,28.61,10.15,2.15
24-December-2024,400.90,405.35,398.40,399.40,401.112342154343255154,252541,6128,101297312.00,95891,37.97,6.95,-1.50
23-December-2024,403.45,406.35,396.85,399.85,400.973694164329401017,1541331,33208,618033185.00,915886,59.42,9.50,-3.60
20-December-2024,411.00,415.50,400.10,401.25,407.704755529536342284,428743,9533,174800560.00,190803,44.50,15.40,-9.75
19-December-2024,410.00,413.85,406.40,412.60,410.561666969006150894,534719,16575,219535124.00,219367,41.02,7.45,2.60
18-December-2024,421.30,421.30,413.20,415.05,416.437206870154934285,185498,5053,77248269.00,77564,41.81,8.10,-6.25
17-December-2024,425.00,428.10,419.50,420.60,423.589389767230799377,193926,4475,82144996.00,81436,41.99,8.60,-4.40
16-December-2024,428.30,430.45,424.50,425.40,426.590138283926079418,189176,4277,80700616.00,75560,39.94,5.95,-2.90
13-December-2024,431.05,432.40,420.50,428.30,425.133358263869621337,663176,17269,281938240.00,221256,33.36,11.90,-2.75
12-December-2024,435.45,437.05,429.00,433.65,432.414710836608646827,231530,5021,100116978.00,94178,40.68,8.05,-1.80
11-December-2024,435.20,438.55,434.10,434.55,436.681965007952738014,550125,7804,240229666.00,334141,60.74,4.45,-0.65
10-December-2024,442.75,443.20,432.15,435.20,435.888882362171143950,1242755,20013,541703088.00,958482,77.13,11.05,-7.55
9-December-2024,443.35,447.70,439.10,440.60,442.419109121312472242,670978,11498,296853489.00,264305,39.39,8.60,-2.75
6-December-2024,433.45,442.35,433.35,439.45,437.871101474552428651,1384081,32499,606049072.00,575961,41.61,9.00,6.00
